"","BEGIN_YEARMONTH","BEGIN_DAY","BEGIN_TIME","END_YEARMONTH","END_DAY","END_TIME","EPISODE_ID","EVENT_ID","STATE","STATE_FIPS","YEAR","MONTH_NAME","EVENT_TYPE","CZ_TYPE","CZ_FIPS","CZ_NAME","WFO","BEGIN_DATE_TIME","CZ_TIMEZONE","END_DATE_TIME","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS","SOURCE","MAGNITUDE","MAGNITUDE_TYPE","FLOOD_CAUSE","CATEGORY","TOR_F_SCALE","TOR_LENGTH","TOR_WIDTH","TOR_OTHER_WFO","TOR_OTHER_CZ_STATE","TOR_OTHER_CZ_FIPS","TOR_OTHER_CZ_NAME","BEGIN_RANGE","BEGIN_AZIMUTH","BEGIN_LOCATION","END_RANGE","END_AZIMUTH","END_LOCATION","BEGIN_LAT","BEGIN_LON","END_LAT","END_LON","EPISODE_NARRATIVE","EVENT_NARRATIVE","DATA_SOURCE"
"1",195109,9,915,195109,9,915,NA,10047282,"MISSISSIPPI",28,1951,"September","Tornado","C",87,"LOWNDES",NA,"09-SEP-51 09:15:00","CST","09-SEP-51 09:15:00",0,0,0,0,"0K",0,NA,0,NA,NA,NA,"F2",0.1,100,NA,NA,NA,NA,0,NA,NA,0,NA,NA,33.5,-88.43,NA,NA,NA,NA,"PUB"
"2",195105,9,1830,195105,9,1830,NA,10099717,"OKLAHOMA",40,1951,"May      ","Tornado","C",33,"COTTON",NA,"09-MAY-51 18:30:00","CST","09-MAY-51 18:30:00",0,0,0,0,"2.5K",0,NA,0,NA,NA,NA,"F1",0,33,NA,NA,NA,NA,0,NA,NA,0,NA,NA,34.45,-98.32,NA,NA,NA,NA,"PUB"
"3",195107,15,1620,195107,15,1620,NA,10099742,"OKLAHOMA",40,1951,"July     ","Tornado","C",73,"KINGFISHER",NA,"15-JUL-51 16:20:00","CST","15-JUL-51 16:20:00",0,0,0,0,".25K",0,NA,0,NA,NA,NA,"F2",0,100,NA,NA,NA,NA,0,NA,NA,0,NA,NA,34.8,-94.8,NA,NA,NA,NA,"PUB"
"4",195103,28,510,195103,28,510,NA,10120421,"TEXAS",48,1951,"March    ","Tornado","C",225,"HOUSTON",NA,"28-MAR-51 05:10:00","CST","28-MAR-51 05:10:00",0,0,0,0,"2.5K",0,NA,0,NA,NA,NA,"F1",0.5,17,NA,NA,NA,NA,0,NA,NA,0,NA,NA,31.37,-95.6,NA,NA,NA,NA,"PUB"
"5",195106,17,2200,195106,17,2200,NA,10028729,"KANSAS",20,1951,"June     ","Tornado","C",63,"GOVE",NA,"17-JUN-51 22:00:00","CST","17-JUN-51 22:00:00",0,0,0,0,"0K",0,NA,0,NA,NA,NA,"F0",0.7,33,NA,NA,NA,NA,0,NA,NA,0,NA,NA,39.07,-100.23,NA,NA,NA,NA,"PUB"
"6",195105,8,1800,195105,8,1800,NA,10028691,"KANSAS",20,1951,"May      ","Tornado","C",203,"WICHITA",NA,"08-MAY-51 18:00:00","CST","08-MAY-51 18:00:00",0,0,0,0,".25K",0,NA,0,NA,NA,NA,"F1",0,33,NA,NA,NA,NA,0,NA,NA,0,NA,NA,38.38,-101.55,NA,NA,NA,NA,"PUB"
"7",195105,3,1335,195105,3,1335,NA,10039190,"MICHIGAN",26,1951,"May      ","Tornado","C",93,"LIVINGSTON",NA,"03-MAY-51 13:35:00","CST","03-MAY-51 13:35:00",0,0,0,0,"250K",0,NA,0,NA,NA,NA,"F2",2.3,150,NA,NA,NA,NA,0,NA,NA,0,NA,NA,42.7,-84.05,42.73,-84,NA,NA,"PUB"
"8",195106,1,1800,195106,1,1800,NA,10039191,"MICHIGAN",26,1951,"June     ","Tornado","C",45,"EATON",NA,"01-JUN-51 18:00:00","CST","01-JUN-51 18:00:00",1,0,0,0,"2.5K",0,NA,0,NA,NA,NA,"F1",0.5,10,NA,NA,NA,NA,0,NA,NA,0,NA,NA,42.75,-84.75,NA,NA,NA,NA,"PUB"
"9",195106,26,1800,195106,26,1800,NA,10039192,"MICHIGAN",26,1951,"June     ","Tornado","C",111,"MIDLAND",NA,"26-JUN-51 18:00:00","CST","26-JUN-51 18:00:00",0,0,0,0,"25K",0,NA,0,NA,NA,NA,"F1",0,33,NA,NA,NA,NA,0,NA,NA,0,NA,NA,43.67,-84.33,NA,NA,NA,NA,"PUB"
"10",195102,19,1830,195102,19,1830,NA,10099493,"OKLAHOMA",40,1951,"February ","Tornado","C",15,"CADDO",NA,"19-FEB-51 18:30:00","CST","19-FEB-51 18:30:00",5,0,0,0,"25K",0,NA,0,NA,NA,NA,"F2",7.6,20,NA,NA,NA,NA,0,NA,NA,0,NA,NA,35.27,-98.18,35.37,-98.13,NA,NA,"PUB"
