"","BEGIN_YEARMONTH","BEGIN_DAY","BEGIN_TIME","END_YEARMONTH","END_DAY","END_TIME","EPISODE_ID","EVENT_ID","STATE","STATE_FIPS","YEAR","MONTH_NAME","EVENT_TYPE","CZ_TYPE","CZ_FIPS","CZ_NAME","WFO","BEGIN_DATE_TIME","CZ_TIMEZONE","END_DATE_TIME","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS","SOURCE","MAGNITUDE","MAGNITUDE_TYPE","FLOOD_CAUSE","CATEGORY","TOR_F_SCALE","TOR_LENGTH","TOR_WIDTH","TOR_OTHER_WFO","TOR_OTHER_CZ_STATE","TOR_OTHER_CZ_FIPS","TOR_OTHER_CZ_NAME","BEGIN_RANGE","BEGIN_AZIMUTH","BEGIN_LOCATION","END_RANGE","END_AZIMUTH","END_LOCATION","BEGIN_LAT","BEGIN_LON","END_LAT","END_LON","EPISODE_NARRATIVE","EVENT_NARRATIVE","DATA_SOURCE"
"1",195203,18,1830,195203,18,1830,NA,10063631,"MISSOURI",29,1952,"March    ","Tornado","C",31,"CAPE GIRARDEAU",NA,"18-MAR-52 18:30:00","CST","18-MAR-52 18:30:00",0,0,0,0,"25K",0,NA,0,NA,NA,NA,"F2",6.2,500,NA,NA,NA,NA,0,NA,NA,0,NA,NA,37.37,-89.78,37.45,-89.73,NA,NA,"PUB"
"2",195206,29,1100,195206,29,1100,NA,9991454,"FLORIDA",12,1952,"June     ","Tornado","C",103,"PINELLAS",NA,"29-JUN-52 11:00:00","CST","29-JUN-52 11:00:00",0,0,0,0,"2.5K",0,NA,0,NA,NA,NA,"F1",0,33,NA,NA,NA,NA,0,NA,NA,0,NA,NA,27.75,-82.65,NA,NA,NA,NA,"PUB"
"3",195207,13,1500,195207,13,1500,NA,10099559,"OKLAHOMA",40,1952,"July     ","Tornado","C",131,"ROGERS",NA,"13-JUL-52 15:00:00","CST","13-JUL-52 15:00:00",0,0,0,0,"2.5K",0,NA,0,NA,NA,NA,"F1",0,33,NA,NA,NA,NA,0,NA,NA,0,NA,NA,36.32,-95.7,NA,NA,NA,NA,"PUB"
"4",195207,16,1730,195207,16,1730,NA,10099560,"OKLAHOMA",40,1952,"July     ","Tornado","C",7,"BEAVER",NA,"16-JUL-52 17:30:00","CST","16-JUL-52 17:30:00",0,0,0,0,"25K",0,NA,0,NA,NA,NA,"F1",0,30,NA,NA,NA,NA,0,NA,NA,0,NA,NA,36.87,-100.88,NA,NA,NA,NA,"PUB"
"5",195208,15,1630,195208,15,1630,NA,10099561,"OKLAHOMA",40,1952,"August   ","Tornado","C",83,"LOGAN",NA,"15-AUG-52 16:30:00","CST","15-AUG-52 16:30:00",0,0,0,0,"25K",0,NA,0,NA,NA,NA,"F2",5.1,77,NA,NA,NA,NA,0,NA,NA,0,NA,NA,35.8,-97.5,35.85,-97.43,NA,NA,"PUB"
"6",195205,24,1505,195205,24,1505,NA,10083092,"OHIO",39,1952,"May      ","Tornado","C",35,"CUYAHOGA",NA,"24-MAY-52 15:05:00","CST","24-MAY-52 15:05:00",0,0,0,0,"25K",0,NA,0,NA,NA,NA,"F1",0,200,NA,NA,NA,NA,0,NA,NA,0,NA,NA,41.42,-81.5,NA,NA,NA,NA,"PUB"
"7",195204,5,1610,195204,5,1610,NA,10082588,"NEW JERSEY",34,1952,"April    ","Tornado","C",39,"UNION",NA,"05-APR-52 16:10:00","CST","05-APR-52 16:10:00",0,0,0,0,"2.5K",0,NA,0,NA,NA,NA,"F1",0.2,33,NA,NA,NA,NA,0,NA,NA,0,NA,NA,40.63,-74.32,NA,NA,NA,NA,"PUB"
"8",195208,10,904,195208,10,904,NA,10082589,"NEW JERSEY",34,1952,"August   ","Tornado","C",5,"BURLINGTON",NA,"10-AUG-52 09:04:00","CST","10-AUG-52 09:04:00",0,0,0,0,"25K",0,NA,0,NA,NA,NA,"F1",2.3,100,NA,NA,NA,NA,0,NA,NA,0,NA,NA,40,-74.6,40.03,-74.57,NA,NA,"PUB"
"9",195208,10,930,195208,10,930,NA,10082590,"NEW JERSEY",34,1952,"August   ","Tornado","C",9,"CAPE MAY",NA,"10-AUG-52 09:30:00","CST","10-AUG-52 09:30:00",0,0,0,0,"25K",0,NA,0,NA,NA,NA,"F1",12.5,100,NA,NA,NA,NA,0,NA,NA,0,NA,NA,40.03,-74.57,40.17,-74.4,NA,NA,"PUB"
"10",195201,17,1934,195201,17,1934,NA,10104937,"PENNSYLVANIA",42,1952,"January  ","Tornado","C",39,"CRAWFORD",NA,"17-JAN-52 19:34:00","CST","17-JAN-52 19:34:00",0,0,0,0,"250K",0,NA,0,NA,NA,NA,"F2",0.5,400,NA,NA,NA,NA,0,NA,NA,0,NA,NA,41.6,-80.3,NA,NA,NA,NA,"PUB"
